Column1,Column2,Column3,Column4
,75130000,3950.578,
,79830000,3922.445,
,84530000,3894.541,
,89220000,3866.984,
,93920000,3839.896,
,98610000,3813.398,
,103300000,3787.604,
,108000000,3762.62,
,112700000,3738.549,
,117400000,3715.488,
,122100000,3693.531,
,126800000,3672.764,
,131500000,3653.259,
,136200000,3635.063,
,140900000,3618.196,
,150300000,3588.338,
,159700000,3563.195,
,169100000,3542.019,
,178400000,3524.07,
,187800000,3508.736,
,234800000,3458.333,
,295800000,3430.663,
,328700000,3425.711,
,375700000,3425.614,
,469600000,3437.029,
,704400000,3460.156,
,939200000,3444.965,
46,2p0,->,5g0
,10,4340.47,
,4696000,4337.353,
,7044000,4332.04,
,9392000,4324.866,
,11740000,4316.038,
,14090000,4305.769,
,16440000,4294.268,
,18780000,4281.726,
,21130000,4268.32,
,23480000,4254.203,
,25830000,4239.507,
,28180000,4224.34,
,30520000,4208.782,
,32870000,4192.879,
,35220000,4176.63,
,37570000,4159.96,
,42260000,4124.157,
,46960000,4077.453,
,51650000,4006.556,
,56350000,3925.255,
,61050000,3845.804,
,65740000,3775.806,
,70440000,3732.913,
,75130000,3704.301,
,79830000,3678.664,
,84530000,3654.346,
,89220000,3630.928,
,93920000,3608.234,
,103300000,3564.657,
,112700000,3523.126,
,122100000,3483.339,
,131500000,3445.059,
,164400000,3319.936,
,187800000,3235.223,
,211300000,3151.721,
,234800000,3073.877,
,258300000,3007.613,
,281800000,2951.144,
,305200000,2901.173,
,328700000,2855.797,
,352200000,2813.945,
,375700000,2775.008,
,422600000,2704.173,
,469600000,2641.414,
,704400000,2402.378,
,939200000,2245.001,
60,2s0,->,5p-1
,10,4340.47,
,4696000,4357.807,
,7044000,4348.596,
,9392000,4330.171,
,11740000,4304.408,
,14090000,4273.03,
,18780000,4199.464,
,23480000,4122.329,
,28180000,4072.977,
,30520000,4058.511,
,32870000,4045.384,
,35220000,4032.869,
,37570000,4020.764,
,39920000,4008.99,
,42260000,3997.5,
,46960000,3975.231,
,51650000,3953.696,
,56350000,3932.643,
,61050000,3911.811,
,65740000,3890.902,
,70440000,3869.565,
,75130000,3847.378,
,79830000,3823.882,
,84530000,3798.695,
,89220000,3771.756,
,93920000,3743.589,
,98610000,3715.35,
,103300000,3688.494,
,108000000,3664.213,
,112700000,3643.028,
,117400000,3624.796,
,122100000,3609.037,
,126800000,3595.223,
,131500000,3582.921,
,136200000,3571.809,
,140900000,3561.657,
,150300000,3543.626,
,159700000,3527.98,
,169100000,3514.227,
,178400000,3502.056,
,187800000,3491.241,
,197200000,3481.611,
,206600000,3473.025,
,216000000,3465.361,
,225400000,3458.51,
,234800000,3452.371,
,244200000,3446.848,
,253600000,3441.843,
,263000000,3437.261,
,272400000,3432.999,
,281800000,3428.947,
,295800000,3422.993,
,328700000,3407.097,
,352200000,3391.562,
,375700000,3374.216,
,399200000,3361.232,
,422600000,3354.726,
,469600000,3352.65,
,704400000,3367.734,
,939200000,3351.6,
41,2p-1,->,5d-2
,10,4340.47,
,4696000,4359.895,
,7044000,4353.095,
,9392000,4337.732,
,11740000,4315.471,
,14090000,4287.828,
,16440000,4256.123,
,18780000,4221.497,
,21130000,4184.951,
,23480000,4147.392,
,28180000,4072.572,
,32870000,4003.036,
,37570000,3942.053,
,42260000,3888.717,
,46960000,3840.415,
,51650000,3795.203,
,56350000,3752.026,
,61050000,3710.345,
,65740000,3669.875,
,70440000,3630.455,
,75130000,3591.986,
,79830000,3554.396,
,84530000,3517.63,
,89220000,3481.637,
,93920000,3446.369,
,103300000,3377.805,
,112700000,3311.489,
,122100000,3246.883,
,131500000,3183.335,
,140900000,3120.126,
,164400000,2960.537,
,187800000,2804.401,
,211300000,2671.165,
,234800000,2570.177,
,281800000,2416.662,
,328700000,2293.188,
,375700000,2188.693,
,422600000,2098.16,
,469600000,2018.254,
,704400000,1733.497,
,939200000,1548.719,
47,2p0,->,5d-1
,10,4340.47,
